Publisher Name,Publisher Registry Id,Version (with valid data),Reporting-Org (with valid data),Iati-identifier (with valid data),Participating Organisation (with valid data),Title (with valid data),Description (with valid data),Status (with valid data),Activity Date (with valid data),Sector (with valid data),Country or Region (with valid data),Average (with valid data),Version (with any data),Reporting-Org (with any data),Iati-identifier (with any data),Participating Organisation (with any data),Title (with any data),Description (with any data),Status (with any data),Activity Date (with any data),Sector (with any data),Country or Region (with any data),Average (with any data)
Commune de Dangbo - Benin,dangbo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Ifangni - Bénin,ifangni,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Klouékanmè - Bénin,klouekanme,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Kpomassè - Bénin,kpomasse,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Kétou - Bénin,ketou,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Lalo - Bénin,lalo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Parakou - Bénin,parakou,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Pobè - Bénin,pobe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Toffo - Bénin,toffo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Toviklin - Bénin,toviklin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Zè - Bénin,ze,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Concern Worldwide,concern_worldwide,100,100,100,100,100,100,100,100,94,94,99,100,100,100,100,100,100,100,100,94,94,99
Concern Worldwide UK,concernuk,100,100,100,94,100,100,100,100,94,94,98,100,100,100,100,100,100,100,100,94,94,99
Conciliation Resources,cr,100,100,100,75,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
Concordis International,concordis,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Conflict Dynamics International,cdi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Congodorpen vzw,congodorpen,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Construction Sector Transparency Initiative (CoST),cost_uk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Coopération par l'Education et la Culture,cec,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cord,cord,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Cordaid,cordaid,100,100,100,96,100,100,100,100,100,74,97,100,100,100,100,100,100,100,100,100,100,100
Cowater International Inc,cowater,100,100,100,100,100,100,100,100,100,0,90,100,100,100,100,100,100,100,100,100,0,90
COWI,cowi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CRANE,crane,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CREA,creausa-org,100,100,100,13,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,crb-ai_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Crown Agents Limited,cal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CUAMM Trustees,cuammtrustees,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Cyan International,cyan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DAI Europe,dai-e,100,100,100,100,100,100,100,100,94,100,99,100,100,100,100,100,100,100,100,100,100,100
DAI Global Health,healthpartners-international,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Damiaanactie / Action Damien,damien-foundation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
dance4life,dance4life,100,100,100,100,100,100,100,100,100,88,99,100,100,100,100,100,100,100,100,100,100,100
DanChurchAid,dca,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Danish Family Planning Association,dfpa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Danish Red Cross,danishrc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Danish Refugee Council,drc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Danmission,danmission,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dansk Missionråds Udviklingsafdeling,dmru,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Data4Development,d4d,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
David Gordon Memorial Hospital,dgmh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dawuro Development Association,dawuro_da,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DECP,decp,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Delivery Associates Ltd,delivery_associates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Deloitte Touche Tohmatsu India LLP,dttillp,100,100,0,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Democracy Reporting International gGmbH,dri,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Democratic Governance Facility,dgf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark - Ministry of Foreign Affairs,danida,100,100,100,100,80,71,100,100,94,88,93,100,100,100,100,80,71,100,100,94,93,94
Desmond Tutu HIV Foundation,dthfxx12,100,100,100,18,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Development Aid from People to People (DAPP) Malawi,dapp,100,100,100,75,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
Development Initiatives Poverty Research,dipr,100,100,100,7,100,100,100,100,100,89,90,100,100,100,100,100,100,100,100,100,89,99
Development Organisation of the Rural Poor,dorp-org,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Developments In Literacy Trust UK,diltuk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Diakonia Sweden,diakonia802017-3517,100,100,100,100,100,100,100,100,55,100,96,100,100,100,100,100,100,100,100,100,100,100
Digital Campus,dc,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Direcção Provincial de Saúde de Nampula,dps-nampula,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Disability and Development Partners,ddp,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Disability Rights Advocacy Fund,draf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Disability Rights Fund,drf,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Disabled People's Organisations Denmark,dpod,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Disasters Emergency Committee,dec-uk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Discovery Learning Alliance, Inc.",dla,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djapo VZW,djapo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DKT - (Pakistan),dkt,100,100,0,0,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100
DNH Mali (Direction Nationale de l’Hydraulique du Mali),pca-gire,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Doctors of the World UK,dotw_uk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Dorcas Aid International,dai,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DUF - The Danish Youth Council,duf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dynamo International asbl,dynamo_international,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Défi Belgique Afrique,dba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dóchas - Irish Association of Non Governmental Development Organisations,dochas,100,100,100,0,100,100,100,100,100,95,90,100,100,100,100,100,100,100,100,100,100,100
ECDPM,ecdpm,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Echos Communication,ec,100,100,100,43,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100
Eclosio,eclosio,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Economic and Social Research Foundation (ESRF),esrf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ecorys Nederland B.V.,ecorysnl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ecorys UK,ecuk,100,100,67,100,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Educate!,educate,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Education Development Trust,edt_kenya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EDUCATION DEVELOPMENT TRUST - RWANDA,edt_rwanda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Edukans Foundation,edukans_foundation,100,100,0,39,100,100,100,100,76,100,82,100,100,100,100,100,100,100,100,79,100,98
Emmanuel International UK,eiuk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
EMMS International,emms,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Energy 4 Impact,e4i,100,100,100,100,100,100,100,100,100,0,90,100,100,100,100,100,100,100,100,100,0,90
Energy Saving Trust,energy_saving_trust,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Enfance Tiers Monde Kinderen Derde Wereld,etmkdw,100,100,100,83,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
EngenderHealth Ethiopia,engenderhealth_eth,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Engineers Without Borders Canada,ewb_canada,100,100,100,0,100,50,100,25,25,75,68,100,100,100,100,100,50,100,25,25,100,80
Enhanced Integrated Framework,eif,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Entraide et Fraternité,ef_,100,100,100,92,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
equileap,equileap,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethical Trading Initiative,eti,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Ethiopiaid UK,ethiopiaiduk,100,100,100,16,100,100,100,100,68,97,88,100,100,100,100,100,100,100,100,100,97,100
Ethiopian Horticulture Producer Exporters Association (EHPEA),ehpea,100,100,0,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
European Bank for Reconstruction and Development,ebrd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
European Commission - Directorate-General for International Cooperation and Development,ec-devco,100,100,100,100,100,100,100,99,100,74,97,100,100,100,100,100,100,100,99,100,100,100
European Commission - Humanitarian Aid & Civil Protection,ec-echo,100,100,100,100,100,100,100,100,88,100,99,100,100,100,100,100,100,100,100,97,100,100
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,100,100,100,100,100,100,100,98,100,98,100,100,100,100,100,100,100,100,98,100,100,100
European Commission - Service for Foreign Policy Instruments,ec-fpi,100,100,100,100,100,100,100,100,100,86,99,100,100,100,100,100,100,100,100,100,100,100
European Institute of Peace,eip,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
European Investment Bank,eib,100,100,100,100,100,99,100,100,97,100,100,100,100,100,100,100,99,100,100,100,100,100
European Journalism Centre,ejc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EveryChild,evc,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Excellent Development,excellent,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Exeter Ethiopia Link,eel,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Fair Wear Foundation,fwf,100,100,100,18,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Fairfood International,fairfood,100,100,100,0,100,100,100,100,100,100,90,100,100,100,0,100,100,100,100,100,100,90
Fairtrade Belgium,fairtrade_be,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fairtrade Labelling Organizations International e.V.,fairtrade_international,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Family Aids Caring Trust,fact,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Family Life Education Program,flepuganda,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Farm Africa,fa,100,100,100,100,100,100,100,100,50,100,95,100,100,100,100,100,100,100,100,75,100,98
Farm Concern International,fci,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fauna & Flora International,ffi_publisher,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Federation of Women Lawyers Kenya,fida,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Feed the Minds,ftm-291333,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
FHI360,fhi360,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Fiabel,fiabel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FIAN Belgium,fian-belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Find Your Feet,fyf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Finland - Ministry of Foreign Affairs,finland_mfa,86,100,100,86,100,100,79,87,100,80,92,100,100,100,100,100,100,79,87,100,100,97
FMO,fmo,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
FONCABA ASBL KBA VZW,foncaba,100,100,100,100,100,100,100,100,100,80,98,100,100,100,100,100,100,100,100,100,80,98
Fondo Centroamericano de Mujeres,fcam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,fos,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Food and Agriculture Organization of the United Nations (FAO),fao,100,100,100,100,100,100,100,100,66,100,97,100,100,100,100,100,100,100,100,66,100,97
Food for the Hungry UK,fh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Forests Monitor,fm,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,fucid,100,100,83,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
France - Ministry for Europe and Foreign Affairs,france,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FRANK Water,frankwater,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Free a Girl,freeagirl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Free Press Unlimited,free_press_unlimited,100,100,100,100,100,100,100,100,70,100,97,100,100,100,100,100,100,100,100,100,100,100
Freedom Forum,ff,100,100,100,50,100,100,100,100,50,100,90,100,100,100,50,100,100,100,100,50,100,90
Friends of Kipkelion,kipkelion,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Friends of Publish What You Fund,friendsofpwyf,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
"Friends of the Earth England, Wales and Northern Ireland",foe_ewni,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Friends of the Earth International,foei,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Friends of the Earth-Ghana,foe-ghana,100,100,100,100,100,100,100,100,0,100,90,100,100,100,100,100,100,100,100,100,100,100
Frontline AIDS,f-aids,100,100,100,95,100,100,100,100,100,89,98,100,100,100,100,100,100,100,100,100,95,100
Fundacion Acceso,fundacion-acceso,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fundación Fondo Mujeres del Sur,fms,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fundación Oriéntame,orientame,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Fundo de Investimento e Patrimonio do Abastecimento de Água (FIPAG),fipag,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
GAVI Alliance,gavi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GEMS Education Solutions,mgcubed,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Gender Links,gl,100,100,100,17,100,100,100,50,83,100,85,100,100,100,100,100,100,100,100,83,100,98
Geneva Centre for the Democratic Control of Armed Forces (DCAF),dcaf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Geneva International Centre for Humanitarian Demining,gichd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GEOMOUN ASBL,geomoun,100,100,100,40,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100
Germany - Federal Foreign Office,fo_germany,100,100,100,100,100,100,100,100,91,100,99,100,100,100,100,100,100,100,100,100,100,100
Germany - Ministry for Economic Cooperation and Development,bmz,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Girls Not Brides: The Global Partnership to End Child Marriage,girlsnotbrides,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Giro555 (Stichting Samenwerkende Hulporganisaties),giro555,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GiveDirectly,givedirectly,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Action Nepal,gan,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Alliance for TB Drug Development,tb-a,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Canopy,globalcanopy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Focus,globaltfokus,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Global Green Growth Institute (GGGI),gggi,100,100,100,75,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
Global Innovation Fund,gif,100,100,100,4,100,100,100,100,100,68,87,100,100,100,100,100,100,100,100,100,100,100
Global Integrity,globalintegrity,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Network of People Living with HIV (GNP+),gnpplus,100,100,100,75,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
Global Network of Sex Work Projects (NSWP),nswp,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Global Partnership for Education,gpe,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Global Rights Compliance,grc2018,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GlobalGiving.org,globalgiving,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GOAL,goal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GOGLA - Global Off-Grid Lighting Association,gogla,100,100,0,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
GPPAC Foundation,gppac,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Groupe Pivot Santé Population,gpsp-org,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grow Movement,growmovement_admin,100,100,100,0,100,100,100,100,100,50,85,100,100,100,100,100,100,100,100,100,100,100
Guttmacher Institute,guttmacher,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Habitat for Humanity Great Britain,hfhgb,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Hagar International UK,hagar_uk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Haiti Hospital Appeal,hha,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hand in Hand International,handinhand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Handicap International,hifed,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Handicap International Belgique,hib,100,100,100,14,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100
Handicap International UK,hiuk,100,100,90,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
HE Foundation,hefoundation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Health Poverty Action,hpa,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
HealthNet TPO,healthnet,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HealthProm,hp_12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Heartland Alliance International,ha-i,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Heifer International South Africa,hsa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Heifer Nederland,heifernederland,100,100,100,69,100,100,100,100,31,85,89,100,100,100,100,100,100,100,100,100,85,99
HelpAge International,helpage_international,100,100,100,100,100,100,100,100,97,95,99,100,100,100,100,100,100,100,100,97,100,100
HelpAge International UK,ageintl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Helvetas Swiss Intercooperation,hsi,100,100,50,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
HiiL innovating Justice,hiil_mfa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hilfswerk Austria Zimbabwe,hwa-zm,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Hivos,stichting_hivos,100,100,100,1,100,79,100,100,69,100,85,100,100,100,100,100,79,100,100,75,100,95
Homeless International,hi,100,100,100,14,100,100,100,14,29,14,67,100,100,100,100,100,100,100,100,29,14,84
Hope and Homes for Children,hhc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hope for Children,hfc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Horizons for Green Development,horizons,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Hospice Africa Ltd,hauk,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
HTSPE,htspe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Human Relief Foundation,hrf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
I Choose Life Africa,ke-ngc-3372,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ICA:UK,icauk,100,100,100,0,100,100,100,100,100,0,80,100,100,100,100,100,100,100,100,100,100,100
ICCO Cooperation,icco-cooperation,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ICF Consulting Services Ltd,icf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ICS,ics,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
IDEO.org,ideo_org,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"IDH, the Sustainable Trade Initiative",idh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IDinsight,idinsight,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IFOAM - Organics International,ifoam,100,100,100,97,100,100,100,100,100,89,99,100,100,100,100,100,100,100,100,100,89,99
IHE Delft Institute for Water Education,ihedelft,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iles de Paix,idp,100,100,100,25,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
IMC WORLDWIDE,imcw_admin,100,100,100,100,100,100,100,56,100,44,90,100,100,100,100,100,100,100,100,100,100,100
Index Initiative Foundation,iif,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Indigo Trust,indtrust,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Instiglio,instiglio,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,ifsi_isvi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Institut National de l'Eau, Benin",ine_benin,100,100,100,100,100,100,100,100,100,0,90,100,100,100,100,100,100,100,100,100,0,90
Institute for International Workers Education,iiwe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Institute for Security Studies,issafrica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Institute for War & Peace Reporting,iwpr,100,100,100,86,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Institute of Development Studies,ids,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Institute of Tropical Medicine,itm,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
